protocol,direction,fold,seed,feature_set,point_id,nearest_training_row_identifier,standardized_nearest_distance
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.47500000,k0.00075000_wq-0.47500000,0.23810017173739595
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.61000000,k0.00075000_wq-0.52500000,0.1585261431941511
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.45000000,k0.00075000_wq-0.47500000,0.17682089546798624
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.58000000,k0.00075000_wq-0.55000000,0.08242492923535297
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.64000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.64000000,k0.00075000_wq-0.61000000,0.15092890846207493
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.55000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.61000000,k0.00075000_wq-0.58000000,0.1106948174225393
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.52500000,k0.00075000_wq-0.47500000,0.15408330290252706
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.69000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.61000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.71250000,k0.00075000_wq-0.69000000,0.5529229912699203
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.52500000,k0.00075000_wq-0.50000000,0.06385573633173422
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.69000000,k0.00075000_wq-0.61000000,0.3809168976357429
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.55000000,k0.00075000_wq-0.52500000,0.08084563340457693
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.50000000,k0.00075000_wq-0.47500000,0.05110283112093494
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.71250000,k0.00075000_wq-0.64000000,0.5849519713290111
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.69000000,k0.00075000_wq-0.66666667,0.4024324711169546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.45000000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.64000000,k0.00075000_wq-0.55000000,0.2133066731852112
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.66666667,k0.00075000_wq-0.58000000,0.280810478755259
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.58000000,k0.00075000_wq-0.47500000,0.35733764622809816
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.66666667,k0.00075000_wq-0.64000000,0.23962124819305364
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00050000_wq-0.47500000,k0.00075000_wq-0.47500000,0.11898764500747423
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.50000000,k0.00075000_wq-0.47500000,0.20066087024371346
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.45000000,k0.00075000_wq-0.47500000,0.2667963657652869
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.71250000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.47500000,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.58000000,k0.00075000_wq-0.50000000,0.12796287251292998
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00025000_wq-0.55000000,k0.00075000_wq-0.47500000,0.10821917780026548
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,photon_geometry,k0.00000000_wq-0.66666667,k0.00075000_wq-0.47500000,0.3573376462276546
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.50000000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.52500000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.47500000,k0.00075000_wq-0.47500000,0.5181290576012946
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.61000000,k0.00075000_wq-0.50000000,0.43151908471093725
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.45000000,k0.00075000_wq-0.47500000,0.35430452716240185
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.58000000,k0.00075000_wq-0.55000000,0.23473630054519407
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.64000000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.64000000,k0.00075000_wq-0.61000000,0.35630941073754707
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.55000000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.61000000,k0.00075000_wq-0.58000000,0.28721755832364954
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.52500000,k0.00075000_wq-0.47500000,0.3991191745528142
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.69000000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.61000000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.71250000,k0.00075000_wq-0.69000000,0.9829453125063106
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.52500000,k0.00075000_wq-0.47500000,0.17031347805934743
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.69000000,k0.00075000_wq-0.61000000,0.8453184607121242
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.55000000,k0.00075000_wq-0.50000000,0.21882219575943604
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.50000000,k0.00075000_wq-0.47500000,0.159772454805079
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.71250000,k0.00075000_wq-0.61000000,1.0040412680846016
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.69000000,k0.00075000_wq-0.66666667,0.7457660733397394
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.45000000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.64000000,k0.00075000_wq-0.55000000,0.5336887055180579
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.66666667,k0.00075000_wq-0.58000000,0.6581201064523061
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.58000000,k0.00075000_wq-0.47500000,0.7772495493000321
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.66666667,k0.00075000_wq-0.64000000,0.5010293519863516
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00050000_wq-0.47500000,k0.00075000_wq-0.47500000,0.25904519670752413
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.50000000,k0.00075000_wq-0.47500000,0.4621094224426246
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.45000000,k0.00075000_wq-0.47500000,0.5648692008440739
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.71250000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.47500000,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.58000000,k0.00075000_wq-0.47500000,0.33904222807439355
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00025000_wq-0.55000000,k0.00075000_wq-0.47500000,0.3417920117306661
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,all_shooting,k0.00000000_wq-0.66666667,k0.00075000_wq-0.47500000,0.7772495493815369
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.50000000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.52500000,k0.00075000_wq-0.47500000,1.8526558925732215
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.47500000,k0.00075000_wq-0.47500000,1.2350798389637077
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00025000_wq-0.61000000,k0.00075000_wq-0.47500000,1.0972377268971916
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.45000000,k0.00075000_wq-0.47500000,0.6868141261727501
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00050000_wq-0.58000000,k0.00075000_wq-0.52500000,0.5771499881705999
directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,ringdown_plus_photon_geometry,k0.00000000_wq-0.64000000,k0.00075000_wq-0.47500000,1.8526558925732215
