method,protocol,direction,fold,seed,point_id,k,wq,error_ringdown,error_ringdown_plus_geometry,ringdown_only,ringdown_plus_photon_geometry,delta_log_sigma_min,delta_error_wq
HGB,grouped_physical_interpolation,,blocks_3x3_shifted_g2,2030,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1506535617379805,0.1562165265902497,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.005562964852269203
HGB,random_interpolation,,random_2027,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1194521056598361,0.0764086640556132,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.04304344160422291
HGB,random_interpolation,,random_2028,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.1096305452423602,0.0685157739569691,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.041114771285391094
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.023920638569143,0.0255018153001662,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.0015811767310232004
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0137315566881432,0.0064828900449707,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0072486666431725
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0063312503293649,0.00334202627515,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0029892240542149
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2029,k0.00025000_wq-0.45000000,0.00025,-0.45,0.024869731824666,0.0268481249450671,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.0019783931204010972
Jacobian local inverse,directional_extrapolation,high_k_to_low_k,high_k_to_low_k,2030,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0107457476273395,0.0066673306798474,0.0346278539046752,0.1509927840607152,1.4725736636450628,0.0040784169474921
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0384781434020056,0.0597031858796154,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.0212250424776098
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.039363812212957,0.0563355651889209,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.0169717529759639
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0406231734036628,0.0586740611859259,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.018050887782263096
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2029,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0457719755082698,0.0602788407422038,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.014506865233933998
Jacobian local inverse,directional_extrapolation,low_wq_to_high_wq,low_wq_to_high_wq,2030,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0391390218019553,0.0564762266578688,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.0173372048559135
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g2,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0429969870579505,0.05615043488752,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.013153447829569502
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g2,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0469702567342141,0.0582168163129587,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.011246559578744597
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g2,2028,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0422180228395629,0.058051473540898,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.0158334507013351
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g2,2029,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0399913602504725,0.0546935932358311,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.014702232985358603
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_g2,2030,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0449801033998206,0.058498802038848,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.013518698639027396
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_shifted_g2,2026,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0845433314176917,0.1069298955680995,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.022386564150407795
Jacobian local inverse,grouped_physical_interpolation,,blocks_3x3_shifted_g2,2027,k0.00025000_wq-0.45000000,0.00025,-0.45,0.0601986103135166,0.0783321446093418,0.0346278539046752,0.1509927840607152,1.4725736636450628,-0.018133534295825204
