source_csv,filtering_rule,protocol,feature_set,sample_count,aggregation,value,status
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown_plus_all_shooting; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown_plus_all_shooting,5,median across registered fold/seed NMAE values,0.0453628679438577,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown_plus_photon_geometry; target=k; k=0 excluded only for wq,random_interpolation,ringdown_plus_photon_geometry,5,median across registered fold/seed NMAE values,0.0560087389402604,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=HGB; feature_set=ringdown_plus_photon_geometry; target=identifiable_wq; k=0 excluded only for wq,random_interpolation,ringdown_plus_photon_geometry,5,median across registered fold/seed NMAE values,0.0739711397928914,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.0997786378206705,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=all_shooting; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,all_shooting,20,median across registered fold/seed NMAE values,0.1293260146762391,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=photon_geometry; target=k; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.2174221442408791,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=photon_geometry; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,photon_geometry,20,median across registered fold/seed NMAE values,0.1645297636608679,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.0198279583613906,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown; target=identifiable_wq; k=0 excluded only for wq,directional_extrapolation,ringdown,20,median across registered fold/seed NMAE values,0.0653580103388903,PASS
artifacts/traditional_baselines/traditional_vs_ml_summary.csv,method=Jacobian local inverse; feature_set=ringdown_plus_all_shooting; target=k; k=0 excluded only for wq,directional_extrapolation,ringdown_plus_all_shooting,20,median across registered fold/seed NMAE values,0.0623530497307789,PASS
