method,protocol,direction,fold,seed,feature_set,k_NMAE,identifiable_wq_NMAE
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,all_shooting,0.19090909090909092,0.20084656084656066
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,photon_geometry,0.20606060606060608,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown,0.042424242424242434,0.21608465608465596
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown_plus_all_shooting,0.18484848484848487,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown_plus_photon_geometry,0.20303030303030303,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,all_shooting,0.3818181818181818,0.36148148148148135
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,photon_geometry,0.17575757575757575,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown,0.03636363636363636,0.24275132275132263
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown_plus_all_shooting,0.3787878787878788,0.35767195767195753
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown_plus_photon_geometry,0.17272727272727273,0.19322751322751305
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,all_shooting,0.2212121212121212,0.08369408369408368
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,photon_geometry,0.23939393939393938,0.09004329004329004
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown,0.19999999999999996,0.2606060606060607
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown_plus_all_shooting,0.20606060606060603,0.08321308321308322
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown_plus_photon_geometry,0.20606060606060603,0.08609908609908612
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,all_shooting,0.2424242424242424,0.08715728715728716
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,photon_geometry,0.2606060606060606,0.09350649350649351
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown,0.19999999999999996,0.245021645021645
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown_plus_all_shooting,0.22424242424242422,0.08003848003848005
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown_plus_photon_geometry,0.22424242424242422,0.08869648869648872
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,all_shooting,0.2333333333333333,0.08513708513708512
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,photon_geometry,0.2636363636363636,0.10129870129870128
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown,0.19999999999999996,0.255988455988456
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown_plus_all_shooting,0.2212121212121212,0.08225108225108221
