method,protocol,direction,fold,seed,feature_set,n_test,n_wq_scored,MAE_k,NMAE_k,MAE_identifiable_wq,NMAE_identifiable_wq
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,photon_geometry,33,30,0.0005454545454545455,0.2181818181818182,0.054722222222222186,0.2084656084656083
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,ringdown,33,30,9.848484848484849e-05,0.0393939393939394,0.0567222222222222,0.2160846560846559
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,ringdown_plus_all_shooting,33,30,0.0004696969696969697,0.1878787878787879,0.050722222222222196,0.19322751322751305
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,ringdown_plus_photon_geometry,33,30,0.00048484848484848484,0.19393939393939397,0.04972222222222219,0.1894179894179892
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,all_shooting,33,30,0.0004924242424242425,0.196969696969697,0.050722222222222196,0.19322751322751305
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,photon_geometry,33,30,0.0005378787878787879,0.21515151515151518,0.05172222222222219,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,ringdown,33,30,0.00011363636363636366,0.04545454545454547,0.05672222222222219,0.21608465608465596
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,ringdown_plus_all_shooting,33,30,0.00048484848484848484,0.19393939393939397,0.050722222222222196,0.19322751322751305
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,ringdown_plus_photon_geometry,33,30,0.0005227272727272728,0.20909090909090913,0.050722222222222196,0.19322751322751305
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,all_shooting,33,30,0.0004772727272727273,0.19090909090909092,0.0527222222222222,0.20084656084656066
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,photon_geometry,33,30,0.0005151515151515152,0.20606060606060608,0.05172222222222219,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown,33,30,0.00010606060606060608,0.042424242424242434,0.05672222222222219,0.21608465608465596
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown_plus_all_shooting,33,30,0.00046212121212121216,0.18484848484848487,0.05172222222222219,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown_plus_photon_geometry,33,30,0.0005075757575757576,0.20303030303030303,0.05172222222222219,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,all_shooting,33,30,0.0009545454545454546,0.3818181818181818,0.09488888888888883,0.36148148148148135
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,photon_geometry,33,30,0.00043939393939393937,0.17575757575757575,0.05172222222222219,0.19703703703703684
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown,33,30,9.090909090909092e-05,0.03636363636363636,0.0637222222222222,0.24275132275132263
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown_plus_all_shooting,33,30,0.000946969696969697,0.3787878787878788,0.09388888888888886,0.35767195767195753
Nearest physical model,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown_plus_photon_geometry,33,30,0.00043181818181818176,0.17272727272727273,0.050722222222222196,0.19322751322751305
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,all_shooting,33,33,0.000553030303030303,0.2212121212121212,0.021969696969696972,0.08369408369408368
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,photon_geometry,33,33,0.0005984848484848484,0.23939393939393938,0.023636363636363636,0.09004329004329004
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown,33,33,0.0005,0.19999999999999996,0.06840909090909092,0.2606060606060607
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown_plus_all_shooting,33,33,0.0005151515151515152,0.20606060606060603,0.021843434343434345,0.08321308321308322
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown_plus_photon_geometry,33,33,0.0005151515151515152,0.20606060606060603,0.022601010101010108,0.08609908609908612
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,all_shooting,33,33,0.000606060606060606,0.2424242424242424,0.022878787878787884,0.08715728715728716
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,photon_geometry,33,33,0.0006515151515151514,0.2606060606060606,0.024545454545454547,0.09350649350649351
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown,33,33,0.0005,0.19999999999999996,0.0643181818181818,0.245021645021645
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown_plus_all_shooting,33,33,0.0005606060606060607,0.22424242424242422,0.021010101010101017,0.08003848003848005
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown_plus_photon_geometry,33,33,0.0005606060606060607,0.22424242424242422,0.02328282828282829,0.08869648869648872
Nearest physical model,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,all_shooting,33,33,0.0005833333333333333,0.2333333333333333,0.022348484848484843,0.08513708513708512
