method,protocol,direction,fold,seed,feature_set,n_test,n_wq_scored,MAE_k,NMAE_k,MAE_identifiable_wq,NMAE_identifiable_wq
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2026,ringdown_plus_photon_geometry,33,30,0.003453192997506444,1.381277199002578,0.1373451736403844,0.5232197091062264
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,all_shooting,33,30,0.10256194049032454,41.024776196129814,5.798547172798461,22.089703515422705
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,photon_geometry,33,30,0.0056748897455243304,2.269955898209732,0.2698641737912644,1.028053995395293
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,ringdown,33,30,5.4658561726242e-05,0.021863424690496798,0.015419237438539716,0.05873995214681795
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,ringdown_plus_all_shooting,33,30,0.08784174966966406,35.13669986786562,4.863806518743969,18.528786738072256
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2027,ringdown_plus_photon_geometry,33,30,0.002969888054335505,1.187955221734202,0.11026608309452825,0.4200612689315361
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,all_shooting,33,30,0.08262082398548821,33.04832959419528,5.487271699392664,20.903892188162526
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,photon_geometry,33,30,0.006274066785674316,2.509626714269727,0.3665793035427659,1.3964925849248224
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,ringdown,33,30,6.925262139196201e-05,0.027701048556784805,0.02129908898965195,0.08113938662724554
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,ringdown_plus_all_shooting,33,30,0.0705833436233277,28.23333744933108,4.591534792125058,17.49156111285737
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2028,ringdown_plus_photon_geometry,33,30,0.003984429058589434,1.5937716234357735,0.20271178720975266,0.7722353798466767
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,all_shooting,33,30,0.0908559275560842,36.34237102243368,5.688383069677428,21.6700307416283
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,photon_geometry,33,30,0.006068497332016772,2.427398932806709,0.32382888566739726,1.2336338501615132
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown,33,30,6.393546903091674e-05,0.025574187612366697,0.019514147600623758,0.07433960990713812
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown_plus_all_shooting,33,30,0.07905078238546914,31.620312954187664,4.873315974707864,18.565013236982335
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2029,ringdown_plus_photon_geometry,33,30,0.0038361943583698353,1.534477743347934,0.17668305886254565,0.6730783194763644
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,all_shooting,33,30,2.342058960014002,936.823584005601,890.4983865906454,3392.3748060596004
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,photon_geometry,33,30,0.007030328929875939,2.8121315719503754,0.3048003295521251,1.161144112579524
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown,33,30,6.469230925577078e-05,0.02587692370230831,0.022709534870334676,0.08651251379175115
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown_plus_all_shooting,33,30,1.4371831029813273,574.873241192531,611.4925698245813,2329.495504093642
Jacobian local inverse,directional_extrapolation,high_wq_to_low_wq,high_wq_to_low_wq,2030,ringdown_plus_photon_geometry,33,30,0.002697354427418347,1.0789417709673388,0.06470077862331455,0.2464791566602459
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,all_shooting,33,33,0.0007829842071577525,0.31319368286310095,0.05207130067045046,0.19836685969695414
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,photon_geometry,33,33,0.0009759310762317691,0.39037243049270776,0.06626063054550003,0.252421449697143
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown,33,33,5.954241258851832e-05,0.023816965035407332,0.014345763366297287,0.054650527109703945
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown_plus_all_shooting,33,33,0.0006202473772925326,0.24809895091701312,0.03975565632434535,0.15145011933083943
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2026,ringdown_plus_photon_geometry,33,33,0.0005012176023918717,0.20048704095674869,0.032184209837895016,0.12260651366817152
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,all_shooting,33,33,0.0002687606326140972,0.1075042530456389,0.044097515161910565,0.16799053395013547
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,photon_geometry,33,33,0.0007644951337284505,0.3057980534913802,0.0618987860637324,0.2358048992904091
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown,33,33,5.7643166844155526e-05,0.023057266737662212,0.013281777587400087,0.050597247952000324
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown_plus_all_shooting,33,33,0.00020718496680945545,0.0828739867237822,0.04260950093421778,0.16232190832082968
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2027,ringdown_plus_photon_geometry,33,33,0.0002521488645203957,0.10085954580815827,0.03608439085551653,0.13746434611625347
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,all_shooting,33,33,0.002617966952600404,1.0471867810401612,0.17342880807027536,0.6606811736010487
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,photon_geometry,33,33,0.0020904284385413765,0.8361713754165506,0.1375567983344086,0.5240258984167947
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown,33,33,6.744700129284474e-05,0.026978800517137896,0.018208853285805755,0.06936706013640288
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown_plus_all_shooting,33,33,0.0022131402353088615,0.8852560941235447,0.14050645186053942,0.535262673754436
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2028,ringdown_plus_photon_geometry,33,33,0.00102576462369502,0.4103058494780081,0.057873007233250055,0.22046859898380974
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,all_shooting,33,33,0.000813401664979748,0.3253606659918992,0.05359042104439145,0.20415398493101505
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,photon_geometry,33,33,0.001160781248260735,0.464312499304294,0.0806477408843125,0.3072294890830952
Jacobian local inverse,directional_extrapolation,low_k_to_high_k,low_k_to_high_k,2029,ringdown,33,33,6.26238732078881e-05,0.025049549283155243,0.015023497381433323,0.05723237097688884
