k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.61,timing,2.8104589600888574,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,2.8104589600888577e-10,0.0025,0.2625
0.0,-0.61,all_shooting,5.21413757136212,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,5.214137571362121e-10,0.0025,0.2625
0.0,-0.61,ringdown_only,1.9768824110735352,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.9768824110735352e-10,0.0025,0.2625
0.0,-0.61,ringdown_plus_photon_geometry,3.7201577546040387,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,3.720157754604039e-10,0.0025,0.2625
0.0,-0.61,ringdown_plus_all_shooting,5.576315511186754,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,5.576315511186755e-10,0.0025,0.2625
0.0,-0.58,orbital,1.921593425481389,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,1.921593425481389e-10,0.0025,0.2625
0.0,-0.58,photon_geometry,2.215195105419489,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,2.2151951054194893e-10,0.0025,0.2625
0.0,-0.58,redshift,0.980313972580205,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,9.80313972580205e-11,0.0025,0.2625
0.0,-0.58,timing,2.2746962754560425,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,2.2746962754560426e-10,0.0025,0.2625
0.0,-0.58,all_shooting,3.8386025163250923,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,3.8386025163250927e-10,0.0025,0.2625
0.0,-0.58,ringdown_only,1.8730248659654496,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.8730248659654497e-10,0.0025,0.2625
0.0,-0.58,ringdown_plus_photon_geometry,2.900915631934054,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.900915631934054e-10,0.0025,0.2625
0.0,-0.58,ringdown_plus_all_shooting,4.271193208795666,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,4.2711932087956667e-10,0.0025,0.2625
0.0,-0.55,orbital,1.3525850182633525,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,1.3525850182633525e-10,0.0025,0.2625
0.0,-0.55,photon_geometry,1.5499776025657372,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.5499776025657373e-10,0.0025,0.2625
