M,k,wq,initial_apocentre_phi,initial_apocentre_radius,next_pericentre_phi,next_pericentre_radius,next_apocentre_phi,next_apocentre_radius,orbital__radial_azimuthal_period,orbital__apsidal_advance,orbital__r_emit__mean,orbital__r_emit__amplitude,orbital__r_emit__reference,orbital__r_emit__cos1,orbital__r_emit__sin1,orbital__r_emit__cos2,orbital__r_emit__sin2,orbital__r_emit__cos3,orbital__r_emit__sin3,orbital__p_r_emit__mean,orbital__p_r_emit__amplitude,orbital__p_r_emit__reference,orbital__p_r_emit__cos1,orbital__p_r_emit__sin1,orbital__p_r_emit__cos2,orbital__p_r_emit__sin2,orbital__p_r_emit__cos3,orbital__p_r_emit__sin3,photon_geometry__impact_parameter__mean,photon_geometry__impact_parameter__amplitude,photon_geometry__impact_parameter__reference,photon_geometry__impact_parameter__cos1,photon_geometry__impact_parameter__sin1,photon_geometry__impact_parameter__cos2,photon_geometry__impact_parameter__sin2,photon_geometry__impact_parameter__cos3,photon_geometry__impact_parameter__sin3,photon_geometry__alpha_sky__mean,photon_geometry__alpha_sky__amplitude,photon_geometry__alpha_sky__reference,photon_geometry__alpha_sky__cos1,photon_geometry__alpha_sky__sin1,photon_geometry__alpha_sky__cos2,photon_geometry__alpha_sky__sin2,photon_geometry__alpha_sky__cos3,photon_geometry__alpha_sky__sin3,photon_geometry__beta_sky__mean,photon_geometry__beta_sky__amplitude,photon_geometry__beta_sky__reference,photon_geometry__beta_sky__cos1,photon_geometry__beta_sky__sin1,photon_geometry__beta_sky__cos2,photon_geometry__beta_sky__sin2,photon_geometry__beta_sky__cos3,photon_geometry__beta_sky__sin3,redshift__redshift__mean,redshift__redshift__amplitude,redshift__redshift__reference,redshift__redshift__cos1,redshift__redshift__sin1,redshift__redshift__cos2,redshift__redshift__sin2,redshift__redshift__cos3,redshift__redshift__sin3,timing__excess_time_delay__mean,timing__excess_time_delay__amplitude,timing__excess_time_delay__reference,timing__excess_time_delay__cos1,timing__excess_time_delay__sin1,timing__excess_time_delay__cos2,timing__excess_time_delay__sin2,timing__excess_time_delay__cos3,timing__excess_time_delay__sin3,timing__arrival_time_relative__mean,timing__arrival_time_relative__amplitude,timing__arrival_time_relative__cos1,timing__arrival_time_relative__sin1,timing__arrival_time_relative__cos2,timing__arrival_time_relative__sin2,timing__arrival_time_relative__cos3,timing__arrival_time_relative__sin3,delta_r,r_photon,Omega,lambda
1.0,0.0,-0.7125,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.69,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.6666666666666666,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.64,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.61,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.58,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.55,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.525,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.5,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
1.0,0.0,-0.475,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0,10.28431129342623,4.0011259862466435,9.444122030369288,1.999847331227552,12.0,0.5817016121821427,1.6273922966119465,0.05515028476196622,0.6753047803622357,0.018679254413352997,0.41455079262179706,-0.02794359295122629,0.0486858212986637,0.0,0.03191728761285997,-0.020786094894052344,0.005958192156120456,-0.006353466116018834,0.002489576652799085,-0.0040478302266652435,9.621616729147956,2.1893155417647923,10.384586688878384,-0.45503672484680874,1.102444027149035,-0.6301783498884378,-0.08534541418310143,0.01728589822957699,0.1970160848321317,0.005439639454734961,0.12506612059589595,-0.1266022405785931,-0.10448514332956846,0.05248351428946404,-7.788311254481593e-05,-0.008104006111164647,-0.004918477585840873,-0.007227888170289523,0.006037716480151166,0.12247554228726709,0.0259803420539647,0.029601982197682286,0.11840638477856773,-0.005512467341407471,-0.0007073100117260171,-0.004487660634444191,0.004609390425826944,0.1805060427661616,0.2942907875421118,0.0293025998174556,-0.1491963660934047,0.25819642209804294,0.02471960088998325,-0.017234089392018398,-0.010479149627145672,-0.003846364146166465,5.525391563737023,1.4965280652038118,4.171339576778607,-1.0448324707093624,-0.845218132789661,0.18723980367404486,0.06408870655808462,-0.0238207621363742,-0.16659153898489448,112.71611569832936,92.65689907927882,-15.656326684150546,-58.15832439275465,-1.8349864887003478,-29.502469607647775,-0.7656215378374399,-19.69753774923438,0.0,3.0,0.19245008972987526,0.19245008972987526
