protocol,direction,model,feature_set,target,metric,mean,std,median,q25,q75,n
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,k,R2,-10.432582623360597,0.3465769643740567,-10.399034857110047,-10.684512466245218,-10.15652449538907,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,k,MAE,0.0006415766589076794,7.586179290112095e-06,0.0006441171676847212,0.0006335605634177,0.0006473104181761362,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,k,RMSE,0.000690123338926206,1.0451457795244505e-05,0.0006891732624768018,0.0006818028947634924,0.0006977497302712132,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,k,NMAE,0.25663066356307174,0.0030344717160448427,0.25764686707388845,0.25342422536708,0.2589241672704545,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,k,NRMSE,0.2760493355704824,0.004180583118097806,0.2756693049907207,0.2727211579053969,0.2790998921084853,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,k,joint_error_median,0.32198415615148923,0.013984069272514117,0.3204494895504353,0.3122873583234576,0.3335138887751552,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,wq,R2,0.6573339186510023,0.0665488702421575,0.6379215834170582,0.6318191586842201,0.6897194753157507,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,wq,MAE,0.039117132845321,0.003984784425472157,0.03874709527872937,0.03595563163523567,0.04162155614189283,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,wq,RMSE,0.04968809625776236,0.0049491633946221495,0.051278437280790505,0.04746906979991677,0.0517087519505999,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,wq,NMAE,0.14901764893455618,0.015180131144655844,0.1476079820142071,0.13697383480089778,0.15855830911197266,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,wq,NRMSE,0.18928798574385658,0.018853955789036758,0.19534642773634478,0.18083455161873052,0.19698572171657106,5
directional_extrapolation,high_k_to_low_k,hgb,all_shooting,wq,joint_error_median,0.2672622471238085,0.013446413991914373,0.27274737364679813,0.26716793506962344,0.27408787109646315,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,k,R2,-30.97938886166967,3.4755634954548147,-29.570842205517277,-34.3375369195149,-29.37482625268687,5
directional_extrapolation,high_k_to_low_k,hgb,orbital,k,MAE,0.001138252220087147,6.23059225087161e-05,0.0011169678588055913,0.0011094297236813623,0.0011979945418868034,5
