protocol,direction,model,feature_set,target,target_coverage,empirical_coverage,average_width,median_width,n
directional_extrapolation,high_k_to_low_k,random_forest,ringdown_plus_all_shooting,k,0.9,0.0,0.00045424999999999963,0.0004516666666666679,165
directional_extrapolation,high_k_to_low_k,random_forest,ringdown_plus_all_shooting,wq,0.9,0.4909090909090909,0.07261626543209865,0.05531249999999843,110
directional_extrapolation,high_k_to_low_k,random_forest,ringdown_plus_photon_geometry,k,0.9,0.012121212121212121,0.00047028472222222187,0.0004729166666666653,165
directional_extrapolation,high_k_to_low_k,random_forest,ringdown_plus_photon_geometry,wq,0.9,0.4727272727272727,0.09982596891534427,0.07947301587301747,110
directional_extrapolation,high_k_to_low_k,random_forest,timing,k,0.9,0.21212121212121213,0.0007247748015873015,0.0006147023809523807,165
directional_extrapolation,high_k_to_low_k,random_forest,timing,wq,0.9,0.4090909090909091,0.08979094246031773,0.07581597222222125,110
directional_extrapolation,high_wq_to_low_wq,hgb,all_shooting,k,0.9,0.703030303030303,0.0009695457389945999,0.0009982866216668,165
directional_extrapolation,high_wq_to_low_wq,hgb,all_shooting,wq,0.9,0.6133333333333333,0.17826687347372241,0.2203308902891625,150
directional_extrapolation,high_wq_to_low_wq,hgb,orbital,k,0.9,0.6121212121212121,0.0021204455635182163,0.001984808491692283,165
directional_extrapolation,high_wq_to_low_wq,hgb,orbital,wq,0.9,0.72,0.2241593167219042,0.26231773377650347,150
directional_extrapolation,high_wq_to_low_wq,hgb,photon_geometry,k,0.9,0.7333333333333333,0.0015982293196471803,0.0015514123827622,165
directional_extrapolation,high_wq_to_low_wq,hgb,photon_geometry,wq,0.9,0.78,0.214095299113489,0.2713641685518628,150
directional_extrapolation,high_wq_to_low_wq,hgb,redshift,k,0.9,0.7393939393939394,0.0016048952844444752,0.0016080630185718561,165
directional_extrapolation,high_wq_to_low_wq,hgb,redshift,wq,0.9,0.7333333333333333,0.19058770688787818,0.2142743717444815,150
