k,wq,initial_apocentre_phi,initial_apocentre_radius,next_pericentre_phi,next_pericentre_radius,next_apocentre_phi,next_apocentre_radius
0.0,-0.7125,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.69,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.6666666666666666,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.64,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.61,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.58,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.55,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.525,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.5,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.475,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.0,-0.45,3.141592653589793,12.0,8.28374830030291,8.0,13.425903947016023,12.0
0.00025,-0.7125,3.141592653589793,12.0,8.486884305017533,7.999999999999989,13.832175956445273,12.000000000000009
0.00025,-0.69,3.141592653589793,12.0,8.4400592230959,8.000000000000048,13.738525792601996,11.999999999999982
0.00025,-0.6666666666666666,3.141592653589793,12.0,8.40285511640006,8.00000000000003,13.664117579210327,11.999999999999961
0.00025,-0.64,3.141592653589793,12.0,8.370909873157235,8.000000000000002,13.600227092724658,12.00000000000004
0.00025,-0.61,3.141592653589793,12.0,8.344861190482044,8.000000000000002,13.548129727374286,11.999999999999995
0.00025,-0.58,3.141592653589793,12.0,8.326357710641565,7.999999999999997,13.51112276769334,11.999999999999988
0.00025,-0.55,3.141592653589793,12.0,8.313249079966864,7.999999999999984,13.48490550634393,12.000000000000016
0.00025,-0.525,3.141592653589793,12.0,8.305330666655491,8.000000000000014,13.46906867972118,12.00000000000002
0.00025,-0.5,3.141592653589793,12.0,8.29944223060599,8.000000000000037,13.457291807622187,11.999999999999986
0.00025,-0.475,3.141592653589793,12.0,8.295089880220285,8.000000000000028,13.448587106850772,12.000000000000009
0.00025,-0.45,3.141592653589793,12.0,8.291896599807732,8.000000000000021,13.442200546025687,11.999999999999975
