k,wq,point_id,feature,observable_family,value_81,value_161,value_321,absolute_change_81_161,absolute_change_161_321,normalized_change_81_161,normalized_change_161_321,estimated_convergence_ratio,behavior,final_convergence_class
0.00225,-0.55,k0p002250000_wqm0p550000000,orbital__radial_azimuthal_period,orbital,10.866764446170412,10.866764446170412,10.866764446170412,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.475,k0p002250000_wqm0p475000000,orbital__radial_azimuthal_period,orbital,10.4949135108227,10.4949135108227,10.4949135108227,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.45,k0p002250000_wqm0p450000000,orbital__radial_azimuthal_period,orbital,10.434092101949805,10.434092101949805,10.434092101949805,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.7125,k0p002500000_wqm0p712500000,orbital__radial_azimuthal_period,orbital,39.93751400036426,39.93751400036426,39.93751400036426,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.69,k0p002500000_wqm0p690000000,orbital__radial_azimuthal_period,orbital,17.840526310104124,17.840526310104124,17.840526310104124,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.6666666666666666,k0p002500000_wqm0p666666667,orbital__radial_azimuthal_period,orbital,14.488267031196948,14.488267031196948,14.488267031196948,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.58,k0p002500000_wqm0p580000000,orbital__radial_azimuthal_period,orbital,11.283222376976292,11.283222376976292,11.283222376976292,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.45,k0p002500000_wqm0p450000000,orbital__radial_azimuthal_period,orbital,10.451178139466698,10.451178139466698,10.451178139466698,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.7125,k0p000000000_wqm0p712500000,orbital__apsidal_advance,orbital,4.001125986246644,4.001125986246644,4.001125986246644,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.69,k0p000000000_wqm0p690000000,orbital__apsidal_advance,orbital,4.001125986246644,4.001125986246644,4.001125986246644,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.6666666666666666,k0p000000000_wqm0p666666667,orbital__apsidal_advance,orbital,4.001125986246644,4.001125986246644,4.001125986246644,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.58,k0p000000000_wqm0p580000000,orbital__apsidal_advance,orbital,4.001125986246644,4.001125986246644,4.001125986246644,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.45,k0p000000000_wqm0p450000000,orbital__apsidal_advance,orbital,4.001125986246644,4.001125986246644,4.001125986246644,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00025,-0.58,k0p000250000_wqm0p580000000,orbital__apsidal_advance,orbital,4.086344806923961,4.086344806923961,4.086344806923961,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.7125,k0p000500000_wqm0p712500000,orbital__apsidal_advance,orbital,4.883446122823052,4.883446122823052,4.883446122823052,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.61,k0p000500000_wqm0p610000000,orbital__apsidal_advance,orbital,4.251430724252424,4.251430724252424,4.251430724252424,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.55,k0p000500000_wqm0p550000000,orbital__apsidal_advance,orbital,4.120436128920815,4.120436128920815,4.120436128920815,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.5,k0p000500000_wqm0p500000000,orbital__apsidal_advance,orbital,4.064250068963997,4.064250068963997,4.064250068963997,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0005,-0.475,k0p000500000_wqm0p475000000,orbital__apsidal_advance,orbital,4.046666208208231,4.046666208208231,4.046666208208231,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00075,-0.475,k0p000750000_wqm0p475000000,orbital__apsidal_advance,orbital,4.069699411868093,4.069699411868093,4.069699411868093,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.001,-0.58,k0p001000000_wqm0p580000000,orbital__apsidal_advance,orbital,4.359373055344243,4.359373055344243,4.359373055344243,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00125,-0.7125,k0p001250000_wqm0p712500000,orbital__apsidal_advance,orbital,7.009231615979871,7.009231615979871,7.009231615979871,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00125,-0.58,k0p001250000_wqm0p580000000,orbital__apsidal_advance,orbital,4.456721459527326,4.456721459527326,4.456721459527326,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00125,-0.45,k0p001250000_wqm0p450000000,orbital__apsidal_advance,orbital,4.083463125028699,4.083463125028699,4.083463125028699,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0015,-0.7125,k0p001500000_wqm0p712500000,orbital__apsidal_advance,orbital,8.138189747527743,8.138189747527743,8.138189747527743,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0015,-0.61,k0p001500000_wqm0p610000000,orbital__apsidal_advance,orbital,4.8325276093321445,4.8325276093321445,4.8325276093321445,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0015,-0.5,k0p001500000_wqm0p500000000,orbital__apsidal_advance,orbital,4.194810545585694,4.194810545585694,4.194810545585694,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00175,-0.7125,k0p001750000_wqm0p712500000,orbital__apsidal_advance,orbital,9.693032474272982,9.693032474272982,9.693032474272982,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00175,-0.45,k0p001750000_wqm0p450000000,orbital__apsidal_advance,orbital,4.117006461203342,4.117006461203342,4.117006461203342,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.002,-0.7125,k0p002000000_wqm0p712500000,orbital__apsidal_advance,orbital,12.03530863626344,12.03530863626344,12.03530863626344,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.002,-0.69,k0p002000000_wqm0p690000000,orbital__apsidal_advance,orbital,8.499023722221267,8.499023722221267,8.499023722221267,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.002,-0.45,k0p002000000_wqm0p450000000,orbital__apsidal_advance,orbital,4.1339116064491925,4.1339116064491925,4.1339116064491925,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.7125,k0p002250000_wqm0p712500000,orbital__apsidal_advance,orbital,16.24644509326801,16.24644509326801,16.24644509326801,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.69,k0p002250000_wqm0p690000000,orbital__apsidal_advance,orbital,9.784087921895695,9.784087921895695,9.784087921895695,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.6666666666666666,k0p002250000_wqm0p666666667,orbital__apsidal_advance,orbital,7.4722778236065075,7.4722778236065075,7.4722778236065075,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.55,k0p002250000_wqm0p550000000,orbital__apsidal_advance,orbital,4.583579138990826,4.583579138990826,4.583579138990826,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.475,k0p002250000_wqm0p475000000,orbital__apsidal_advance,orbital,4.211728203643114,4.211728203643114,4.211728203643114,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.00225,-0.45,k0p002250000_wqm0p450000000,orbital__apsidal_advance,orbital,4.1509067947702185,4.1509067947702185,4.1509067947702185,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.7125,k0p002500000_wqm0p712500000,orbital__apsidal_advance,orbital,33.654328693184674,33.654328693184674,33.654328693184674,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.69,k0p002500000_wqm0p690000000,orbital__apsidal_advance,orbital,11.557341002924538,11.557341002924538,11.557341002924538,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.6666666666666666,k0p002500000_wqm0p666666667,orbital__apsidal_advance,orbital,8.205081724017361,8.205081724017361,8.205081724017361,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.58,k0p002500000_wqm0p580000000,orbital__apsidal_advance,orbital,5.000037069796706,5.000037069796706,5.000037069796706,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0025,-0.45,k0p002500000_wqm0p450000000,orbital__apsidal_advance,orbital,4.167992832287112,4.167992832287112,4.167992832287112,0.0,0.0,0.0,0.0,0.0,monotonic,converged
0.0,-0.7125,k0p000000000_wqm0p712500000,orbital__r_emit__mean,orbital,9.444122030369288,9.444090443922423,9.444082547284324,3.158644686429568e-05,7.896638098969788e-06,4.79186193681513e-05,1.1979694866544234e-05,0.2500008352600082,monotonic,converged
0.0,-0.69,k0p000000000_wqm0p690000000,orbital__r_emit__mean,orbital,9.444122030369288,9.444090443922423,9.444082547284324,3.158644686429568e-05,7.896638098969788e-06,4.79186193681513e-05,1.1979694866544234e-05,0.2500008352600082,monotonic,converged
0.0,-0.6666666666666666,k0p000000000_wqm0p666666667,orbital__r_emit__mean,orbital,9.444122030369288,9.444090443922423,9.444082547284324,3.158644686429568e-05,7.896638098969788e-06,4.79186193681513e-05,1.1979694866544234e-05,0.2500008352600082,monotonic,converged
0.0,-0.58,k0p000000000_wqm0p580000000,orbital__r_emit__mean,orbital,9.444122030369288,9.444090443922423,9.444082547284324,3.158644686429568e-05,7.896638098969788e-06,4.79186193681513e-05,1.1979694866544234e-05,0.2500008352600082,monotonic,converged
0.0,-0.45,k0p000000000_wqm0p450000000,orbital__r_emit__mean,orbital,9.444122030369288,9.444090443922423,9.444082547284324,3.158644686429568e-05,7.896638098969788e-06,4.79186193681513e-05,1.1979694866544234e-05,0.2500008352600082,monotonic,converged
0.00025,-0.58,k0p000250000_wqm0p580000000,orbital__r_emit__mean,orbital,9.454264557071678,9.454234654075917,9.45422717829942,2.9902995761332818e-05,7.475776497400943e-06,4.536471854561348e-05,1.134122144220209e-05,0.25000092154872905,monotonic,converged
0.0005,-0.7125,k0p000500000_wqm0p712500000,orbital__r_emit__mean,orbital,9.56045290089022,9.560436383743314,9.560432254435108,1.6517146907091274e-05,4.129308205591542e-06,2.5057546962757846e-05,6.26441932540351e-06,0.2500013003952102,monotonic,converged
0.0005,-0.61,k0p000500000_wqm0p610000000,orbital__r_emit__mean,orbital,9.4746902963392,9.47466349913969,9.474656799811411,2.6797199510042446e-05,6.69932827790376e-06,4.065303099683628e-05,1.0163300834385287e-05,0.2500010598269098,monotonic,converged
0.0005,-0.55,k0p000500000_wqm0p550000000,orbital__r_emit__mean,orbital,9.458289654425496,9.458260415462677,9.45825310569408,2.9238962818922687e-05,7.309768596641675e-06,4.435733895803371e-05,1.1089377053285363e-05,0.2500009539295623,monotonic,converged
0.0005,-0.5,k0p000500000_wqm0p500000000,orbital__r_emit__mean,orbital,9.45146379466778,9.451433469001596,9.451425887557756,3.032566618443866e-05,7.581443840720681e-06,4.600593606558337e-05,1.1501525424031265e-05,0.2500009000498406,monotonic,converged
0.0005,-0.475,k0p000500000_wqm0p475000000,orbital__r_emit__mean,orbital,9.44936088418016,9.449330213004314,9.449322545182891,3.06711758462086e-05,7.667821423140708e-06,4.653009587505808e-05,1.163256562971534e-05,0.2500008953549318,monotonic,converged
0.00075,-0.475,k0p000750000_wqm0p475000000,orbital__r_emit__mean,orbital,9.452034437985764,9.452004223816605,9.451996670246867,3.02141691594926e-05,7.553569737694943e-06,4.58367880913897e-05,1.1459238662913198e-05,0.25000090844205075,monotonic,converged
0.001,-0.58,k0p001000000_wqm0p580000000,orbital__r_emit__mean,orbital,9.488142916761918,9.4881180662178,9.4881118535536,2.485054411849319e-05,6.212664199978235e-06,3.7699832773896865e-05,9.42500092966805e-06,0.2500011335910716,monotonic,converged
0.00125,-0.7125,k0p001250000_wqm0p712500000,orbital__r_emit__mean,orbital,9.87966469263468,9.879670964973895,9.879672533064545,6.2723392151298185e-06,1.5680906493287239e-06,9.515531667396253e-06,2.3788917849090854e-06,0.2500009319563354,monotonic,converged
