Index,point_id,k,wq,target,model,feature_set,protocol,direction,seed,fold,prediction_161,prediction_321,absolute_shift,normalized_shift,error_161,error_321,local_condition_number,training_distance,most_changed_feature,most_changed_feature_class,exact_rank_loss,scored,model_path,maximum_standardized_input,maximum_hidden_activation,iteration_count,reached_iteration_limit,numerical_overflow,already_catastrophic_at_161,materially_worsened_at_321,failure_class
2902,k0.00200000_wq-0.71250000,0.002,-0.7125,wq,mlp,all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,15.705286346814248,15.70644077386919,0.0011544270549421,0.0043978173521606,62.5439479878638,62.54834580521595,12.508555941254446,0.2937365812055454,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\3b943258ef0c117d_wq.joblib,2581.411887026685,523.5484856154337,132,False,False,True,False,extrapolation instability
2903,k0.00200000_wq-0.69000000,0.002,-0.69,wq,mlp,all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,2.6428410536247178,2.642352399204652,0.0004886544200664,0.001861540647872,12.69653734714178,12.69467580649391,22.68329386819435,0.2151306094871714,orbital__r_emit__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\3b943258ef0c117d_wq.joblib,535.407172344008,106.25766395004091,132,False,False,True,False,extrapolation instability
2904,k0.00225000_wq-0.71250000,0.00225,-0.7125,wq,mlp,all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,35.50697989996941,35.50850247109363,0.0015225711242194,0.0058002709494076,137.9789710475025,137.98477131845192,10.96488890290652,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\3b943258ef0c117d_wq.joblib,5616.839325856593,1146.6509635145492,132,False,False,True,False,extrapolation instability
2905,k0.00225000_wq-0.69000000,0.00225,-0.69,wq,mlp,all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,6.637879956005992,6.638657367531113,0.0007774115251217,0.0029615677147496,27.915733165737112,27.918694733451854,34.80782853473016,0.1904761904761902,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\3b943258ef0c117d_wq.joblib,1167.2303748554723,235.9915904013995,132,False,False,True,False,extrapolation instability
2907,k0.00250000_wq-0.71250000,0.0025,-0.7125,wq,mlp,all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,89.9178698805129,89.91949278348588,0.0016229029729828,0.0061824875161251,345.2585519257634,345.26473441327954,32.977093312019214,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\3b943258ef0c117d_wq.joblib,13845.386433902107,2848.373599583268,132,False,False,True,False,extrapolation instability
2908,k0.00250000_wq-0.69000000,0.0025,-0.69,wq,mlp,all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,13.656700534575297,13.657748055758022,0.0010475211827252,0.0039905568865722,54.65409727457256,54.65808783145913,32.016007431850234,0.1904761904761902,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\3b943258ef0c117d_wq.joblib,2243.824960799348,457.19313880487084,132,False,False,True,False,extrapolation instability
2909,k0.00250000_wq-0.66666667,0.0025,-0.6666666666666666,wq,mlp,all_shooting,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,1.968481669400196,1.9679367046220508,0.000544964778145,0.0020760562976953,10.03866032787376,10.036584271576066,19.896534037905383,0.1015873015873013,orbital__r_emit__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\3b943258ef0c117d_wq.joblib,414.5232281779004,83.46417850229687,132,False,False,True,False,optimization failure
2916,k0.00175000_wq-0.71250000,0.00175,-0.7125,k,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,0.0306932957113543,0.030713221072833,1.9925361478694698e-05,0.0079701445914778,11.577318284541738,11.585288429133216,15.60707272998631,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_k.joblib,1123.818103551123,317.1714178978248,554,False,False,True,False,extrapolation instability
2917,k0.00200000_wq-0.71250000,0.002,-0.7125,k,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,0.0723551949382465,0.072373347133693,1.815219544643032e-05,0.0072608781785721,28.14207797529863,28.1493388534772,19.69842440167895,0.2937365812055454,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_k.joblib,2581.411887026685,736.7561227257457,554,False,False,True,False,extrapolation instability
2919,k0.00225000_wq-0.71250000,0.00225,-0.7125,k,mlp,orbital,directional_extrapolation,high_wq_to_low_wq,2026,high_wq_to_low_wq,0.1602523889224392,0.1602663341157748,1.3945193335640482e-05,0.0055780773342561,63.200955568975694,63.20653364630995,14.175522045757733,0.2761904761904762,timing__arrival_time_relative__sin3,marginal,False,True,artifacts\journal_phase_convergence\ml_run\models\83697b2d7598f249_k.joblib,5616.839325856593,1610.8491512051166,554,False,False,True,False,extrapolation instability
