method,base_model,protocol,direction,feature_set,target,n,median_shift,p95_shift,max_shift,nmae_161,nmae_321,coverage_161,coverage_321,median_interval_width,catastrophic_rate_161,catastrophic_rate_321,absolute_nmae_change
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,all_shooting,k,55,0.00046874999999999174,0.0019697916666667516,0.0033690476190476656,0.24771559466417412,0.247466496540076,0.43636363636363634,0.43636363636363634,0.337392857142859,0.0,0.0,0.0002490981240981238
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,all_shooting,wq,30,0.019581207482993374,0.06588971088435373,0.07146485260770985,0.14394370748299354,0.1262692129629629,0.5333333333333333,0.6,0.26579761904761834,0.0,0.0,0.017674494520030642
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,photon_geometry,k,55,0.0025788690476191527,0.008315476190476302,0.008315476190476302,0.288716054374176,0.28682981700043864,0.43636363636363634,0.43636363636363634,0.5328749999999993,0.0,0.0,0.0018862373737373872
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,photon_geometry,wq,30,0.022734410430838754,0.06285976473922965,0.0633822278911566,0.17146080816480255,0.1492108895736375,0.6,0.6666666666666666,0.3230415249433104,0.0,0.0,0.02224991859116504
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,ringdown,k,55,0.0,0.0,0.0,0.2200473969054118,0.2200473969054118,0.2727272727272727,0.2727272727272727,0.2474757081349501,0.0,0.0,0.0
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,ringdown,wq,30,0.0,4.2294210461910723e-16,8.458842092382145e-16,0.26661543808420746,0.2666154380842075,0.8,0.8,0.7776895489327307,0.0,0.0,5.551115123125783e-17
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,ringdown_plus_all_shooting,k,55,8.673617379884035e-17,0.0009468749999999537,0.00118750000000006,0.21847261904761905,0.21835868506493505,0.0,0.0,0.1587619047619046,0.0,0.0,0.00011393398268400023
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,ringdown_plus_all_shooting,wq,30,0.023605017006802613,0.06178167517006841,0.06662528344671197,0.14019208396321536,0.1241617425673975,0.6,0.6333333333333333,0.28157860922146816,0.0,0.0,0.016030341395817868
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,ringdown_plus_photon_geometry,k,55,4.166666666659269e-05,0.0005906249999999396,0.0010833333333333615,0.2202539592352092,0.2201297168109668,0.0,0.0,0.16874553571428647,0.0,0.0,0.0001242424242424156
extra_trees_smoother,extra_trees,directional_extrapolation,high_k_to_low_k,ringdown_plus_photon_geometry,wq,30,0.020829648526077167,0.06105963010204021,0.06510487528344652,0.16309484055223203,0.14277189869030202,0.5666666666666667,0.6333333333333333,0.2898200113378693,0.0,0.0,0.02032294186193001
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,all_shooting,k,75,1.734723475976807e-16,0.01502976190476191,0.015577380952380954,0.30415123136123146,0.30654298731361246,0.30666666666666664,0.32,0.30172321428571547,0.0,0.0,0.002391755952381003
extra_trees_smoother,extra_trees,directional_extrapolation,high_wq_to_low_wq,all_shooting,wq,60,0.0,0.00030714285714286026,0.0007499999999995209,0.27192631258732397,0.2719096742653285,0.5666666666666667,0.5666666666666667,0.7364637188208552,0.0,0.0,1.6638321995443572e-05
