phi,x_hit,y_hit,z_hit,hit_error,impact_parameter,impact_parameter_drift,alpha_sky,beta_sky,propagation_time,euclidean_distance,excess_time_delay,one_plus_z,redshift,null_constraint_error,r_emit,p_r_emit,t_emit,tau_emit,arrival_time_relative,toa_from_redshift
3.141592653589793,-1.1667056210029614e-12,3.906944212594965e-13,-80.0,1.2303837356220207e-12,10.41626286288726,1.3091749906379846e-12,-0.1215895450060836,0.024951675065205202,80.70184907895758,72.89414068670325,7.807708392254327,0.9938443858457906,-0.006155614154209399,1.2258874471093861e-12,12.0,0.0,0.0,0.0,0.0,0.0
3.220132469929538,-5.683176151904945e-12,2.747829741522878e-12,-79.99999999999999,6.312611144524806e-12,10.18301157550782,1.5560885913146194e-12,-0.11591997573874005,0.03573302782696359,80.41261384669278,72.61255209689222,7.800061749800562,1.0119339731696089,0.011933973169608869,1.516481384911117e-12,11.996937435585105,-0.0024202523059855003,3.5552779897479363,3.081129632088769,3.0898214491890457,3.0900315686823663
3.2986722862692828,-5.844214001626824e-13,8.547329510832924e-14,-80.0,5.906386857841143e-13,9.976974635718651,1.7852386235972517e-12,-0.10942750019428721,0.0462836407764946,80.18343339066597,72.38773977477092,7.795693615895047,1.0307725671583674,0.030772567158367403,1.5960288646255094e-12,11.987766122103613,-0.004835653959274923,7.107271909053494,6.15911735045196,6.23335050647691,6.233744390357204
3.377212102609028,-2.3014617989147723e-11,8.154588115871775e-12,-80.0,2.4416591664806927e-11,9.806250028045433,2.7498003873915877e-12,-0.10216480761127514,0.056510076421803404,80.01624669244848,72.22185700346947,7.79438968897901,1.0502340718255732,0.05023407182557316,1.6799339697115556e-12,11.972535000977349,-0.007241362635936515,10.652719990352853,9.23084281181866,9.429335757587722,9.429884929477259
3.4557519189487724,-1.2002687732604045e-10,4.539735254383004e-11,-80.0,1.2832525432910373e-10,9.677660699356169,3.5793590313915047e-12,-0.09419445242323052,0.06632182887909359,79.91237170943049,72.11639709782635,7.795974611604137,1.0701843887718876,0.0701843887718876,2.0414295254234105e-12,11.951324986069043,-0.009632552745703715,14.18840473353051,12.293228484056746,12.675980150770442,12.676654485918661
3.5342917352885173,-2.171127166938902e-10,4.633946004695133e-11,-80.0,2.2200287680037938e-10,9.596138087276923,4.106937012693379e-12,-0.08558778856028078,0.07563306240425623,79.87248204998885,72.07216558034683,7.800316469642013,1.0904835153232397,0.09048351532323973,2.262856568790994e-12,11.924247996118556,-0.01200442398525818,17.71117420296834,15.343260236222251,15.970939078425957,15.971707342606177
3.612831551628262,-4.0575126591946287e-10,5.8029248073410145e-11,-80.0,4.098798402302949e-10,9.564230609333032,4.105160655853979e-12,-0.07642365031675372,0.08436422816220517,79.89659782974715,72.08926787926163,7.807329950485524,1.1109878577608956,0.11098785776089559,2.260983067436939e-12,11.891445630004782,-0.014352210104537874,21.21796234567769,18.378006974551383,19.311330948578203,19.312161377102193
3.691371367968007,-7.961147296953186e-10,2.653484654224769e-10,-80.0,8.391713001169152e-10,9.581841150589925,3.602451670303708e-12,-0.06678682978431376,0.0924434982992604,79.98409106256615,72.16711306773561,7.816977994830538,1.1315526583553228,0.13155265835532282,2.0642446085794575e-12,11.853087513446757,-0.016671187939749532,24.705808044924986,21.394639046235735,22.693760310566162,22.694621198586074
3.769911184307752,-1.085124323729758e-09,3.492137135019391e-10,-79.99999999999999,1.1399320223801852e-09,9.646256474483474,2.922107000813412e-12,-0.05676641034857229,0.09980796561506242,80.13370527973638,72.30443340144667,7.829271878289703,1.1520344275773822,0.15203442757738217,1.8429285875143364e-12,11.809369352233476,-0.01895668675293181,28.17187265651232,24.390445164878617,26.11435300577112,26.115213280831608
3.848451000647497,-1.3355876266052391e-09,4.692219668367414e-10,-80.0,1.4156141997391647e-09,9.752464312239091,2.460254222569347e-12,-0.04645402144132227,0.106404569427374,80.3435884348531,72.49931866825118,7.844269766601926,1.1722932743742136,0.1722932743742136,2.0563828417863306e-12,11.760510732388935,-0.021204097901838703,31.6134558132769,27.362847649114414,29.568802248847305,29.56963199856111
