k,wq,observable_set,sigma_max,sigma_min,condition_number,cosine_similarity,sensitivity_angle_deg,numerical_rank,gram_determinant,derivative_scheme_k,derivative_scheme_wq,derivative_quality,missing_features,feature_count,rank_tolerance,parameter_k_scale,parameter_wq_scale
0.0,-0.61,timing,2.808776633959754,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,2.808776633959754e-10,0.0025,0.2625
0.0,-0.61,all_shooting,5.214193690771009,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,5.21419369077101e-10,0.0025,0.2625
0.0,-0.61,ringdown_only,1.9768824110735352,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.9768824110735352e-10,0.0025,0.2625
0.0,-0.61,ringdown_plus_photon_geometry,3.7207606525167143,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,3.7207606525167143e-10,0.0025,0.2625
0.0,-0.61,ringdown_plus_all_shooting,5.576367985713293,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,5.576367985713293e-10,0.0025,0.2625
0.0,-0.58,orbital,1.9223290593247235,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,1.9223290593247236e-10,0.0025,0.2625
0.0,-0.58,photon_geometry,2.215711489276351,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,2.2157114892763514e-10,0.0025,0.2625
0.0,-0.58,redshift,0.9804868192446287,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,9.804868192446286e-11,0.0025,0.2625
0.0,-0.58,timing,2.273814114170513,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,2.273814114170513e-10,0.0025,0.2625
0.0,-0.58,all_shooting,3.8387903621517268,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,3.838790362151727e-10,0.0025,0.2625
0.0,-0.58,ringdown_only,1.8730248659654496,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.8730248659654497e-10,0.0025,0.2625
0.0,-0.58,ringdown_plus_photon_geometry,2.9013099717603628,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.9013099717603627e-10,0.0025,0.2625
0.0,-0.58,ringdown_plus_all_shooting,4.271362030204636,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,4.271362030204636e-10,0.0025,0.2625
0.0,-0.55,orbital,1.3531132980206673,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,1.3531132980206674e-10,0.0025,0.2625
0.0,-0.55,photon_geometry,1.5503482077659037,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.5503482077659037e-10,0.0025,0.2625
0.0,-0.55,redshift,0.6739538591765005,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,6.739538591765005e-11,0.0025,0.2625
0.0,-0.55,timing,1.8563848594212244,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.8563848594212244e-10,0.0025,0.2625
0.0,-0.55,all_shooting,2.85217000075216,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,2.8521700007521605e-10,0.0025,0.2625
0.0,-0.55,ringdown_only,1.772442240074731,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.7724422400747312e-10,0.0025,0.2625
0.0,-0.55,ringdown_plus_photon_geometry,2.3548101961143453,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.3548101961143454e-10,0.0025,0.2625
0.0,-0.55,ringdown_plus_all_shooting,3.358038893102893,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,3.3580388931028934e-10,0.0025,0.2625
0.0,-0.525,orbital,1.0042472113860375,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,1.0042472113860375e-10,0.0025,0.2625
0.0,-0.525,photon_geometry,1.1476576216066086,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,1.1476576216066086e-10,0.0025,0.2625
0.0,-0.525,redshift,0.4935739292051069,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,4.935739292051069e-11,0.0025,0.2625
0.0,-0.525,timing,1.576007520315249,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.576007520315249e-10,0.0025,0.2625
0.0,-0.525,all_shooting,2.2478979971719264,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,2.2478979971719266e-10,0.0025,0.2625
0.0,-0.525,ringdown_only,1.6911542041048884,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.6911542041048884e-10,0.0025,0.2625
0.0,-0.525,ringdown_plus_photon_geometry,2.0438005182730956,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,2.0438005182730958e-10,0.0025,0.2625
0.0,-0.525,ringdown_plus_all_shooting,2.8130140326260724,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,2.8130140326260727e-10,0.0025,0.2625
0.0,-0.5,orbital,0.7422509245800926,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,7.422509245800925e-11,0.0025,0.2625
0.0,-0.5,photon_geometry,0.8478704138649525,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,8.478704138649526e-11,0.0025,0.2625
0.0,-0.5,redshift,0.3635846104115591,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,3.6358461041155914e-11,0.0025,0.2625
0.0,-0.5,timing,1.3432051889187973,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.3432051889187974e-10,0.0025,0.2625
0.0,-0.5,all_shooting,1.7905905791704686,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.7905905791704688e-10,0.0025,0.2625
0.0,-0.5,ringdown_only,1.6122065416511338,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.6122065416511338e-10,0.0025,0.2625
0.0,-0.5,ringdown_plus_photon_geometry,1.8215636611576975,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.8215636611576975e-10,0.0025,0.2625
0.0,-0.5,ringdown_plus_all_shooting,2.409444864518951,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,2.409444864518951e-10,0.0025,0.2625
0.0,-0.475,orbital,0.5471514070137663,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,5.471514070137663e-11,0.0025,0.2625
0.0,-0.475,photon_geometry,0.6261810517245662,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,6.261810517245662e-11,0.0025,0.2625
0.0,-0.475,redshift,0.27148107072817235,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.7148107072817237e-11,0.0025,0.2625
0.0,-0.475,timing,1.14831971887731,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,1.1483197188773101e-10,0.0025,0.2625
0.0,-0.475,all_shooting,1.4435433905020685,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.4435433905020684e-10,0.0025,0.2625
0.0,-0.475,ringdown_only,1.5356401218551827,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,4,1.5356401218551828e-10,0.0025,0.2625
0.0,-0.475,ringdown_plus_photon_geometry,1.6584008241044395,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,31,1.6584008241044395e-10,0.0025,0.2625
0.0,-0.475,ringdown_plus_all_shooting,2.1076071987240903,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,75,2.1076071987240903e-10,0.0025,0.2625
0.0,-0.45,orbital,0.4032047450437938,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,18,4.032047450437938e-11,0.0025,0.2625
0.0,-0.45,photon_geometry,0.4635615425547973,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,27,4.635615425547973e-11,0.0025,0.2625
0.0,-0.45,redshift,0.2076184522067732,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,9,2.076184522067732e-11,0.0025,0.2625
0.0,-0.45,timing,0.9839390525238411,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,17,9.839390525238411e-11,0.0025,0.2625
0.0,-0.45,all_shooting,1.1784332187017914,0.0,inf,,,1,0.0,one_sided_forward,analytic_k_zero,one_sided,,71,1.1784332187017914e-10,0.0025,0.2625
